date,medicine,sale
2024-01-22,Basoquin,13
2024-01-22,Gen-M,5
2024-01-22,Primaquine,9
2024-01-22,Quinine,5
2024-01-22,Mefloquine,6
2024-01-22,Artesunate,2
2024-01-22,Arteether,1
2024-01-22,Sulfadoxine-Pyrimethamine,4
2024-01-22,Artemisinin,2
2024-01-22,Artequin,3
2024-01-23,Coartem,16
2024-01-23,Chloroquine,14
2024-01-23,Fansidar,7
2024-01-23,Artheget,9
2024-01-23,Amdaquin,11
2024-01-23,Basoquin,10
2024-01-23,Gen-M,4
2024-01-23,Primaquine,8
2024-01-23,Quinine,10
2024-01-23,Mefloquine,8
2024-01-23,Artesunate,4
2024-01-23,Arteether,4
2024-01-23,Sulfadoxine-Pyrimethamine,4
2024-01-23,Artemisinin,4
2024-01-23,Artequin,1
2024-01-24,Coartem,6
2024-01-24,Chloroquine,16
2024-01-24,Fansidar,14
2024-01-24,Artheget,15
2024-01-24,Amdaquin,7
2024-01-24,Basoquin,12
2024-01-24,Gen-M,3
2024-01-24,Primaquine,10
2024-01-24,Quinine,4
2024-01-24,Mefloquine,8
2024-01-24,Artesunate,6
2024-01-24,Arteether,4
2024-01-24,Sulfadoxine-Pyrimethamine,5
2024-01-24,Artemisinin,4
2024-01-24,Artequin,1
2024-01-25,Coartem,12
2024-01-25,Chloroquine,14
2024-01-25,Fansidar,9
2024-01-25,Artheget,11
2024-01-25,Amdaquin,12
2024-01-25,Basoquin,6
2024-01-25,Gen-M,2
2024-01-25,Primaquine,4
2024-01-25,Quinine,7
2024-01-25,Mefloquine,6
2024-01-25,Artesunate,5
2024-01-25,Arteether,3
2024-01-25,Sulfadoxine-Pyrimethamine,3
2024-01-25,Artemisinin,2
2024-01-25,Artequin,2
2024-01-26,Coartem,17
2024-01-26,Chloroquine,3
2024-01-26,Fansidar,15
2024-01-26,Artheget,20
2024-01-26,Amdaquin,4
2024-01-26,Basoquin,11
2024-01-26,Gen-M,4
2024-01-26,Primaquine,7
2024-01-26,Quinine,7
2024-01-26,Mefloquine,5
2024-01-26,Artesunate,4
2024-01-26,Arteether,4
2024-01-26,Sulfadoxine-Pyrimethamine,3
2024-01-26,Artemisinin,5
2024-01-26,Artequin,2
2024-01-27,Coartem,9
2024-01-27,Chloroquine,14
2024-01-27,Fansidar,13
2024-01-27,Artheget,12
2024-01-27,Amdaquin,9
2024-01-27,Basoquin,0
2024-01-27,Gen-M,6
2024-01-27,Primaquine,4
2024-01-27,Quinine,10
2024-01-27,Mefloquine,3
2024-01-27,Artesunate,3
2024-01-27,Arteether,5
2024-01-27,Sulfadoxine-Pyrimethamine,3
2024-01-27,Artemisinin,2
2024-01-27,Artequin,3
2024-01-28,Coartem,19
2024-01-28,Chloroquine,8
2024-01-28,Fansidar,5
2024-01-28,Artheget,12
2024-01-28,Amdaquin,16
2024-01-28,Basoquin,10
2024-01-28,Gen-M,16
2024-01-28,Primaquine,10
2024-01-28,Quinine,6
2024-01-28,Mefloquine,5
2024-01-28,Artesunate,5
2024-01-28,Arteether,5
2024-01-28,Sulfadoxine-Pyrimethamine,4
2024-01-28,Artemisinin,5
2024-01-28,Artequin,2
2024-01-29,Coartem,12
2024-01-29,Chloroquine,18
2024-01-29,Fansidar,19
2024-01-29,Artheget,9
2024-01-29,Amdaquin,5
2024-01-29,Basoquin,4
2024-01-29,Gen-M,7
2024-01-29,Primaquine,6
2024-01-29,Quinine,8
2024-01-29,Mefloquine,5
2024-01-29,Artesunate,3
2024-01-29,Arteether,4
2024-01-29,Sulfadoxine-Pyrimethamine,2
2024-01-29,Artemisinin,2
2024-01-29,Artequin,2
2024-01-30,Coartem,21
2024-01-30,Chloroquine,22
2024-01-30,Fansidar,26
2024-01-30,Artheget,15
2024-01-30,Amdaquin,10
2024-01-30,Basoquin,20
2024-01-30,Gen-M,13
2024-01-30,Primaquine,7
2024-01-30,Quinine,7
2024-01-30,Mefloquine,9
2024-01-30,Artesunate,6
2024-01-30,Arteether,5
2024-01-30,Sulfadoxine-Pyrimethamine,4
2024-01-30,Artemisinin,4
2024-01-30,Artequin,2
2024-01-31,Coartem,14
2024-01-31,Chloroquine,11
2024-01-31,Fansidar,10
2024-01-31,Artheget,11
2024-01-31,Amdaquin,12
2024-01-31,Basoquin,15
2024-01-31,Gen-M,11
2024-01-31,Primaquine,7
2024-01-31,Quinine,13
2024-01-31,Mefloquine,6
2024-01-31,Artesunate,5
2024-01-31,Arteether,4
2024-01-31,Sulfadoxine-Pyrimethamine,3
2024-01-31,Artemisinin,4
2024-01-31,Artequin,1
2024-02-01,Coartem,27
2024-02-01,Chloroquine,11
2024-02-01,Fansidar,9
2024-02-01,Artheget,13
2024-02-01,Amdaquin,9
2024-02-01,Basoquin,13
2024-02-01,Gen-M,9
2024-02-01,Primaquine,9
2024-02-01,Quinine,7
2024-02-01,Mefloquine,8
2024-02-01,Artesunate,5
2024-02-01,Arteether,4
2024-02-01,Sulfadoxine-Pyrimethamine,6
2024-02-01,Artemisinin,2
2024-02-01,Artequin,2
2024-02-02,Coartem,15
2024-02-02,Chloroquine,8
2024-02-02,Fansidar,13
2024-02-02,Artheget,14
2024-02-02,Amdaquin,10
2024-02-02,Basoquin,17
2024-02-02,Gen-M,8
2024-02-02,Primaquine,8
2024-02-02,Quinine,7
2024-02-02,Mefloquine,5
2024-02-02,Artesunate,4
2024-02-02,Arteether,3
2024-02-02,Sulfadoxine-Pyrimethamine,0
2024-02-02,Artemisinin,3
2024-02-02,Artequin,2
2024-02-03,Coartem,9
2024-02-03,Chloroquine,14
2024-02-03,Fansidar,13
2024-02-03,Artheget,7
2024-02-03,Amdaquin,10
2024-02-03,Basoquin,7
2024-02-03,Gen-M,4
2024-02-03,Primaquine,5
2024-02-03,Quinine,11
2024-02-03,Mefloquine,6
2024-02-03,Artesunate,7
2024-02-03,Arteether,4
2024-02-03,Sulfadoxine-Pyrimethamine,3
2024-02-03,Artemisinin,4
2024-02-03,Artequin,2
2024-02-04,Coartem,21
2024-02-04,Chloroquine,19
2024-02-04,Fansidar,15
2024-02-04,Artheget,5
2024-02-04,Amdaquin,11
2024-02-04,Basoquin,18
2024-02-04,Gen-M,14
2024-02-04,Primaquine,4
2024-02-04,Quinine,6
2024-02-04,Mefloquine,9
2024-02-04,Artesunate,5
2024-02-04,Arteether,2
2024-02-04,Sulfadoxine-Pyrimethamine,6
2024-02-04,Artemisinin,2
2024-02-04,Artequin,1
2024-02-05,Coartem,8
2024-02-05,Chloroquine,9
2024-02-05,Fansidar,21
2024-02-05,Artheget,2
2024-02-05,Amdaquin,13
2024-02-05,Basoquin,14
2024-02-05,Gen-M,15
2024-02-05,Primaquine,8
2024-02-05,Quinine,11
2024-02-05,Mefloquine,7
2024-02-05,Artesunate,4
2024-02-05,Arteether,4
2024-02-05,Sulfadoxine-Pyrimethamine,4
2024-02-05,Artemisinin,2
2024-02-05,Artequin,1
2024-02-06,Coartem,17
2024-02-06,Chloroquine,17
2024-02-06,Fansidar,11
2024-02-06,Artheget,12
2024-02-06,Amdaquin,10
2024-02-06,Basoquin,10
2024-02-06,Gen-M,3
2024-02-06,Primaquine,7
2024-02-06,Quinine,6
2024-02-06,Mefloquine,6
2024-02-06,Artesunate,5
2024-02-06,Arteether,4
2024-02-06,Sulfadoxine-Pyrimethamine,5
2024-02-06,Artemisinin,2
2024-02-06,Artequin,2
2024-02-07,Coartem,3
2024-02-07,Chloroquine,11
2024-02-07,Fansidar,8
2024-02-07,Artheget,5
2024-02-07,Amdaquin,8
2024-02-07,Basoquin,15
2024-02-07,Gen-M,5
2024-02-07,Primaquine,8
2024-02-07,Quinine,9
2024-02-07,Mefloquine,5
2024-02-07,Artesunate,4
2024-02-07,Arteether,3
2024-02-07,Sulfadoxine-Pyrimethamine,4
2024-02-07,Artemisinin,4
2024-02-07,Artequin,2
2024-02-08,Coartem,7
2024-02-08,Chloroquine,10
2024-02-08,Fansidar,5
2024-02-08,Artheget,1
2024-02-08,Amdaquin,11
2024-02-08,Basoquin,6
2024-02-08,Gen-M,8
2024-02-08,Primaquine,8
2024-02-08,Quinine,6
2024-02-08,Mefloquine,5
2024-02-08,Artesunate,4
2024-02-08,Arteether,4
2024-02-08,Sulfadoxine-Pyrimethamine,3
2024-02-08,Artemisinin,2
2024-02-08,Artequin,3
2024-02-09,Coartem,18
2024-02-09,Chloroquine,14
2024-02-09,Fansidar,9
2024-02-09,Artheget,12
2024-02-09,Amdaquin,16
2024-02-09,Basoquin,8
2024-02-09,Gen-M,6
2024-02-09,Primaquine,10
2024-02-09,Quinine,4
2024-02-09,Mefloquine,5
2024-02-09,Artesunate,8
2024-02-09,Arteether,2
2024-02-09,Sulfadoxine-Pyrimethamine,1
2024-02-09,Artemisinin,4
2024-02-09,Artequin,2
2024-02-10,Coartem,20
2024-02-10,Chloroquine,8
2024-02-10,Fansidar,11
2024-02-10,Artheget,20
2024-02-10,Amdaquin,8
2024-02-10,Basoquin,8
2024-02-10,Gen-M,10
2024-02-10,Primaquine,10
2024-02-10,Quinine,8
2024-02-10,Mefloquine,5
2024-02-10,Artesunate,4
2024-02-10,Arteether,2
2024-02-10,Sulfadoxine-Pyrimethamine,4
2024-02-10,Artemisinin,2
2024-02-10,Artequin,1
2024-02-11,Coartem,16
2024-02-11,Chloroquine,11
2024-02-11,Fansidar,20
2024-02-11,Artheget,10
2024-02-11,Amdaquin,5
2024-02-11,Basoquin,8
2024-02-11,Gen-M,6
2024-02-11,Primaquine,9
2024-02-11,Quinine,9
2024-02-11,Mefloquine,8
2024-02-11,Artesunate,5
2024-02-11,Arteether,4
2024-02-11,Sulfadoxine-Pyrimethamine,3
2024-02-11,Artemisinin,4
2024-02-11,Artequin,2
2024-02-12,Coartem,15
2024-02-12,Chloroquine,7
2024-02-12,Fansidar,9
2024-02-12,Artheget,14
2024-02-12,Amdaquin,13
2024-02-12,Basoquin,6
2024-02-12,Gen-M,16
2024-02-12,Primaquine,7
2024-02-12,Quinine,4
2024-02-12,Mefloquine,6
2024-02-12,Artesunate,4
2024-02-12,Arteether,3
2024-02-12,Sulfadoxine-Pyrimethamine,3
2024-02-12,Artemisinin,4
2024-02-12,Artequin,1
2024-02-13,Coartem,14
2024-02-13,Chloroquine,25
2024-02-13,Fansidar,13
2024-02-13,Artheget,11
2024-02-13,Amdaquin,8
2024-02-13,Basoquin,16
2024-02-13,Gen-M,13
2024-02-13,Primaquine,8
2024-02-13,Quinine,7
2024-02-13,Mefloquine,4
2024-02-13,Artesunate,3
2024-02-13,Arteether,1
2024-02-13,Sulfadoxine-Pyrimethamine,3
2024-02-13,Artemisinin,3
2024-02-13,Artequin,2
2024-02-14,Coartem,6
2024-02-14,Chloroquine,15
2024-02-14,Fansidar,12
2024-02-14,Artheget,10
2024-02-14,Amdaquin,1
2024-02-14,Basoquin,10
2024-02-14,Gen-M,9
2024-02-14,Primaquine,7
2024-02-14,Quinine,10
2024-02-14,Mefloquine,10
2024-02-14,Artesunate,5
2024-02-14,Arteether,2
2024-02-14,Sulfadoxine-Pyrimethamine,6
2024-02-14,Artemisinin,2
2024-02-14,Artequin,3
2024-02-15,Coartem,11
2024-02-15,Chloroquine,10
2024-02-15,Fansidar,17
2024-02-15,Artheget,14
2024-02-15,Amdaquin,12
2024-02-15,Basoquin,12
2024-02-15,Gen-M,12
2024-02-15,Primaquine,4
2024-02-15,Quinine,9
2024-02-15,Mefloquine,7
2024-02-15,Artesunate,5
2024-02-15,Arteether,2
2024-02-15,Sulfadoxine-Pyrimethamine,7
2024-02-15,Artemisinin,2
2024-02-15,Artequin,1
2024-02-16,Coartem,13
2024-02-16,Chloroquine,15
2024-02-16,Fansidar,24
2024-02-16,Artheget,9
2024-02-16,Amdaquin,7
2024-02-16,Basoquin,8
2024-02-16,Gen-M,13
2024-02-16,Primaquine,11
2024-02-16,Quinine,6
2024-02-16,Mefloquine,3
2024-02-16,Artesunate,6
2024-02-16,Arteether,5
2024-02-16,Sulfadoxine-Pyrimethamine,4
2024-02-16,Artemisinin,2
2024-02-16,Artequin,1
2024-02-17,Coartem,22
2024-02-17,Chloroquine,14
2024-02-17,Fansidar,9
2024-02-17,Artheget,11
2024-02-17,Amdaquin,8
2024-02-17,Basoquin,3
2024-02-17,Gen-M,7
2024-02-17,Primaquine,11
2024-02-17,Quinine,6
2024-02-17,Mefloquine,6
2024-02-17,Artesunate,6
2024-02-17,Arteether,4
2024-02-17,Sulfadoxine-Pyrimethamine,3
2024-02-17,Artemisinin,4
2024-02-17,Artequin,2
2024-02-18,Coartem,18
2024-02-18,Chloroquine,13
2024-02-18,Fansidar,9
2024-02-18,Artheget,12
2024-02-18,Amdaquin,10
2024-02-18,Basoquin,12
2024-02-18,Gen-M,6
2024-02-18,Primaquine,13
2024-02-18,Quinine,12
2024-02-18,Mefloquine,7
2024-02-18,Artesunate,6
2024-02-18,Arteether,3
2024-02-18,Sulfadoxine-Pyrimethamine,2
2024-02-18,Artemisinin,3
2024-02-18,Artequin,2
2024-02-19,Coartem,4
2024-02-19,Chloroquine,17
2024-02-19,Fansidar,16
2024-02-19,Artheget,7
2024-02-19,Amdaquin,9
2024-02-19,Basoquin,3
2024-02-19,Gen-M,9
2024-02-19,Primaquine,14
2024-02-19,Quinine,4
2024-02-19,Mefloquine,10
2024-02-19,Artesunate,3
2024-02-19,Arteether,3
2024-02-19,Sulfadoxine-Pyrimethamine,4
2024-02-19,Artemisinin,2
2024-02-19,Artequin,2
2024-02-20,Coartem,17
2024-02-20,Chloroquine,18
2024-02-20,Fansidar,15
2024-02-20,Artheget,14
2024-02-20,Amdaquin,11
2024-02-20,Basoquin,10
2024-02-20,Gen-M,12
2024-02-20,Primaquine,5
2024-02-20,Quinine,7
2024-02-20,Mefloquine,4
2024-02-20,Artesunate,6
2024-02-20,Arteether,5
2024-02-20,Sulfadoxine-Pyrimethamine,6
2024-02-20,Artemisinin,2
2024-02-20,Artequin,3
2024-02-21,Coartem,13
2024-02-21,Chloroquine,11
2024-02-21,Fansidar,20
2024-02-21,Artheget,9
2024-02-21,Amdaquin,7
2024-02-21,Basoquin,5
2024-02-21,Gen-M,9
2024-02-21,Primaquine,7
2024-02-21,Quinine,4
2024-02-21,Mefloquine,8
2024-02-21,Artesunate,6
2024-02-21,Arteether,5
2024-02-21,Sulfadoxine-Pyrimethamine,3
2024-02-21,Artemisinin,3
2024-02-21,Artequin,1
2024-02-22,Coartem,11
2024-02-22,Chloroquine,11
2024-02-22,Fansidar,14
2024-02-22,Artheget,7
2024-02-22,Amdaquin,10
2024-02-22,Basoquin,19
2024-02-22,Gen-M,3
2024-02-22,Primaquine,14
2024-02-22,Quinine,10
2024-02-22,Mefloquine,9
2024-02-22,Artesunate,3
2024-02-22,Arteether,2
2024-02-22,Sulfadoxine-Pyrimethamine,1
2024-02-22,Artemisinin,1
2024-02-22,Artequin,1
2024-02-23,Coartem,19
2024-02-23,Chloroquine,13
2024-02-23,Fansidar,10
2024-02-23,Artheget,12
2024-02-23,Amdaquin,8
2024-02-23,Basoquin,14
2024-02-23,Gen-M,6
2024-02-23,Primaquine,8
2024-02-23,Quinine,7
2024-02-23,Mefloquine,5
2024-02-23,Artesunate,4
2024-02-23,Arteether,5
2024-02-23,Sulfadoxine-Pyrimethamine,4
2024-02-23,Artemisinin,3
2024-02-23,Artequin,2
2024-02-24,Coartem,22
2024-02-24,Chloroquine,1
2024-02-24,Fansidar,14
2024-02-24,Artheget,6
2024-02-24,Amdaquin,11
2024-02-24,Basoquin,11
2024-02-24,Gen-M,8
2024-02-24,Primaquine,9
2024-02-24,Quinine,8
2024-02-24,Mefloquine,6
2024-02-24,Artesunate,3
2024-02-24,Arteether,4
2024-02-24,Sulfadoxine-Pyrimethamine,5
2024-02-24,Artemisinin,3
2024-02-24,Artequin,2
2024-02-25,Coartem,22
2024-02-25,Chloroquine,6
2024-02-25,Fansidar,17
2024-02-25,Artheget,10
2024-02-25,Amdaquin,11
2024-02-25,Basoquin,16
2024-02-25,Gen-M,8
2024-02-25,Primaquine,4
2024-02-25,Quinine,14
2024-02-25,Mefloquine,4
2024-02-25,Artesunate,6
2024-02-25,Arteether,5
2024-02-25,Sulfadoxine-Pyrimethamine,2
2024-02-25,Artemisinin,3
2024-02-25,Artequin,2
2024-02-26,Coartem,12
2024-02-26,Chloroquine,23
2024-02-26,Fansidar,16
2024-02-26,Artheget,11
2024-02-26,Amdaquin,6
2024-02-26,Basoquin,8
2024-02-26,Gen-M,16
2024-02-26,Primaquine,9
2024-02-26,Quinine,6
2024-02-26,Mefloquine,6
2024-02-26,Artesunate,6
2024-02-26,Arteether,4
2024-02-26,Sulfadoxine-Pyrimethamine,4
2024-02-26,Artemisinin,3
2024-02-26,Artequin,3
2024-02-27,Coartem,13
2024-02-27,Chloroquine,23
2024-02-27,Fansidar,14
2024-02-27,Artheget,15
2024-02-27,Amdaquin,13
2024-02-27,Basoquin,13
2024-02-27,Gen-M,4
2024-02-27,Primaquine,13
2024-02-27,Quinine,11
2024-02-27,Mefloquine,6
2024-02-27,Artesunate,7
2024-02-27,Arteether,5
2024-02-27,Sulfadoxine-Pyrimethamine,4
2024-02-27,Artemisinin,3
2024-02-27,Artequin,2
2024-02-28,Coartem,17
2024-02-28,Chloroquine,13
2024-02-28,Fansidar,16
2024-02-28,Artheget,12
2024-02-28,Amdaquin,6
2024-02-28,Basoquin,11
2024-02-28,Gen-M,10
2024-02-28,Primaquine,11
2024-02-28,Quinine,6
2024-02-28,Mefloquine,8
2024-02-28,Artesunate,4
2024-02-28,Arteether,2
2024-02-28,Sulfadoxine-Pyrimethamine,4
2024-02-28,Artemisinin,2
2024-02-28,Artequin,1
2024-02-29,Coartem,23
2024-02-29,Chloroquine,19
2024-02-29,Fansidar,18
