date,brand_name,total_sales
9/9/2024,BL BioLyte ORS (Lemon),14
10/9/2024,BL BioLyte ORS (Lemon),13
11/9/2024,BL BioLyte ORS (Lemon),10
12/9/2024,BL BioLyte ORS (Lemon),14
13/09/2024,BL BioLyte ORS (Lemon),18
14/09/2024,BL BioLyte ORS (Lemon),13
15/09/2024,BL BioLyte ORS (Lemon),11
16/09/2024,BL BioLyte ORS (Lemon),11
17/09/2024,BL BioLyte ORS (Lemon),15
18/09/2024,BL BioLyte ORS (Lemon),11
19/09/2024,BL BioLyte ORS (Lemon),14
20/09/2024,BL BioLyte ORS (Lemon),14
21/09/2024,BL BioLyte ORS (Lemon),10
22/09/2024,BL BioLyte ORS (Lemon),19
23/09/2024,BL BioLyte ORS (Lemon),9
24/09/2024,BL BioLyte ORS (Lemon),18
25/09/2024,BL BioLyte ORS (Lemon),18
26/09/2024,BL BioLyte ORS (Lemon),8
27/09/2024,BL BioLyte ORS (Lemon),13
28/09/2024,BL BioLyte ORS (Lemon),13
29/09/2024,BL BioLyte ORS (Lemon),15
30/09/2024,BL BioLyte ORS (Lemon),14
1/10/2024,BL BioLyte ORS (Lemon),16
2/10/2024,BL BioLyte ORS (Lemon),4
3/10/2024,BL BioLyte ORS (Lemon),11
4/10/2024,BL BioLyte ORS (Lemon),15
5/10/2024,BL BioLyte ORS (Lemon),7
6/10/2024,BL BioLyte ORS (Lemon),8
7/10/2024,BL BioLyte ORS (Lemon),16
8/10/2024,BL BioLyte ORS (Lemon),19
9/10/2024,BL BioLyte ORS (Lemon),7
10/10/2024,BL BioLyte ORS (Lemon),18
11/10/2024,BL BioLyte ORS (Lemon),11
12/10/2024,BL BioLyte ORS (Lemon),6
13/10/2024,BL BioLyte ORS (Lemon),10
14/10/2024,BL BioLyte ORS (Lemon),16
15/10/2024,BL BioLyte ORS (Lemon),17
16/10/2024,BL BioLyte ORS (Lemon),10
17/10/2024,BL BioLyte ORS (Lemon),11
18/10/2024,BL BioLyte ORS (Lemon),15
19/10/2024,BL BioLyte ORS (Lemon),6
20/10/2024,BL BioLyte ORS (Lemon),19
21/10/2024,BL BioLyte ORS (Lemon),20
22/10/2024,BL BioLyte ORS (Lemon),10
23/10/2024,BL BioLyte ORS (Lemon),9
24/10/2024,BL BioLyte ORS (Lemon),8
25/10/2024,BL BioLyte ORS (Lemon),10
26/10/2024,BL BioLyte ORS (Lemon),9
27/10/2024,BL BioLyte ORS (Lemon),8
28/10/2024,BL BioLyte ORS (Lemon),15
29/10/2024,BL BioLyte ORS (Lemon),11
30/10/2024,BL BioLyte ORS (Lemon),7
31/10/2024,BL BioLyte ORS (Lemon),11
1/11/2024,BL BioLyte ORS (Lemon),2
2/11/2024,BL BioLyte ORS (Lemon),8
3/11/2024,BL BioLyte ORS (Lemon),9
4/11/2024,BL BioLyte ORS (Lemon),8
5/11/2024,BL BioLyte ORS (Lemon),0
6/11/2024,BL BioLyte ORS (Lemon),13
7/11/2024,BL BioLyte ORS (Lemon),10
8/11/2024,BL BioLyte ORS (Lemon),9
9/11/2024,BL BioLyte ORS (Lemon),14
10/11/2024,BL BioLyte ORS (Lemon),2
11/11/2024,BL BioLyte ORS (Lemon),3
12/11/2024,BL BioLyte ORS (Lemon),9
13/11/2024,BL BioLyte ORS (Lemon),2
14/11/2024,BL BioLyte ORS (Lemon),9
15/11/2024,BL BioLyte ORS (Lemon),6
16/11/2024,BL BioLyte ORS (Lemon),11
17/11/2024,BL BioLyte ORS (Lemon),11
18/11/2024,BL BioLyte ORS (Lemon),7
19/11/2024,BL BioLyte ORS (Lemon),13
20/11/2024,BL BioLyte ORS (Lemon),12
21/11/2024,BL BioLyte ORS (Lemon),7
22/11/2024,BL BioLyte ORS (Lemon),6
23/11/2024,BL BioLyte ORS (Lemon),10
24/11/2024,BL BioLyte ORS (Lemon),3
25/11/2024,BL BioLyte ORS (Lemon),6
26/11/2024,BL BioLyte ORS (Lemon),14
27/11/2024,BL BioLyte ORS (Lemon),13
28/11/2024,BL BioLyte ORS (Lemon),14
29/11/2024,BL BioLyte ORS (Lemon),9
30/11/2024,BL BioLyte ORS (Lemon),13
1/12/2024,BL BioLyte ORS (Lemon),2
2/12/2024,BL BioLyte ORS (Lemon),4
3/12/2024,BL BioLyte ORS (Lemon),15
4/12/2024,BL BioLyte ORS (Lemon),3
5/12/2024,BL BioLyte ORS (Lemon),14
6/12/2024,BL BioLyte ORS (Lemon),8
7/12/2024,BL BioLyte ORS (Lemon),11
8/12/2024,BL BioLyte ORS (Lemon),16
9/12/2024,BL BioLyte ORS (Lemon),8
10/12/2024,BL BioLyte ORS (Lemon),12
11/12/2024,BL BioLyte ORS (Lemon),0
12/12/2024,BL BioLyte ORS (Lemon),12
13/12/2024,BL BioLyte ORS (Lemon),13
14/12/2024,BL BioLyte ORS (Lemon),6
15/12/2024,BL BioLyte ORS (Lemon),4
16/12/2024,BL BioLyte ORS (Lemon),13
17/12/2024,BL BioLyte ORS (Lemon),4
18/12/2024,BL BioLyte ORS (Lemon),13
19/12/2024,BL BioLyte ORS (Lemon),3
20/12/2024,BL BioLyte ORS (Lemon),9
21/12/2024,BL BioLyte ORS (Lemon),10
22/12/2024,BL BioLyte ORS (Lemon),10
23/12/2024,BL BioLyte ORS (Lemon),7
24/12/2024,BL BioLyte ORS (Lemon),5
25/12/2024,BL BioLyte ORS (Lemon),1
26/12/2024,BL BioLyte ORS (Lemon),8
27/12/2024,BL BioLyte ORS (Lemon),8
28/12/2024,BL BioLyte ORS (Lemon),17
29/12/2024,BL BioLyte ORS (Lemon),10
30/12/2024,BL BioLyte ORS (Lemon),12
31/12/2024,BL BioLyte ORS (Lemon),9
1/1/2025,BL BioLyte ORS (Lemon),3
2/1/2025,BL BioLyte ORS (Lemon),11
3/1/2025,BL BioLyte ORS (Lemon),13
4/1/2025,BL BioLyte ORS (Lemon),7
5/1/2025,BL BioLyte ORS (Lemon),11
6/1/2025,BL BioLyte ORS (Lemon),4
7/1/2025,BL BioLyte ORS (Lemon),11
8/1/2025,BL BioLyte ORS (Lemon),18
9/1/2025,BL BioLyte ORS (Lemon),11
10/1/2025,BL BioLyte ORS (Lemon),15
11/1/2025,BL BioLyte ORS (Lemon),10
12/1/2025,BL BioLyte ORS (Lemon),11
13/01/2025,BL BioLyte ORS (Lemon),14
14/01/2025,BL BioLyte ORS (Lemon),11
15/01/2025,BL BioLyte ORS (Lemon),16
16/01/2025,BL BioLyte ORS (Lemon),22
17/01/2025,BL BioLyte ORS (Lemon),3
18/01/2025,BL BioLyte ORS (Lemon),16
19/01/2025,BL BioLyte ORS (Lemon),18
20/01/2025,BL BioLyte ORS (Lemon),10
21/01/2025,BL BioLyte ORS (Lemon),10
22/01/2025,BL BioLyte ORS (Lemon),12
23/01/2025,BL BioLyte ORS (Lemon),13
24/01/2025,BL BioLyte ORS (Lemon),8
25/01/2025,BL BioLyte ORS (Lemon),9
26/01/2025,BL BioLyte ORS (Lemon),9
27/01/2025,BL BioLyte ORS (Lemon),9
28/01/2025,BL BioLyte ORS (Lemon),9
29/01/2025,BL BioLyte ORS (Lemon),8
30/01/2025,BL BioLyte ORS (Lemon),9
31/01/2025,BL BioLyte ORS (Lemon),16
1/2/2025,BL BioLyte ORS (Lemon),11
2/2/2025,BL BioLyte ORS (Lemon),19
3/2/2025,BL BioLyte ORS (Lemon),16
4/2/2025,BL BioLyte ORS (Lemon),8
5/2/2025,BL BioLyte ORS (Lemon),15
6/2/2025,BL BioLyte ORS (Lemon),10
7/2/2025,BL BioLyte ORS (Lemon),9
8/2/2025,BL BioLyte ORS (Lemon),14
9/2/2025,BL BioLyte ORS (Lemon),16
10/2/2025,BL BioLyte ORS (Lemon),12
11/2/2025,BL BioLyte ORS (Lemon),12
12/2/2025,BL BioLyte ORS (Lemon),11
13/02/2025,BL BioLyte ORS (Lemon),6
14/02/2025,BL BioLyte ORS (Lemon),20
15/02/2025,BL BioLyte ORS (Lemon),14
16/02/2025,BL BioLyte ORS (Lemon),7
17/02/2025,BL BioLyte ORS (Lemon),14
18/02/2025,BL BioLyte ORS (Lemon),11
19/02/2025,BL BioLyte ORS (Lemon),3
20/02/2025,BL BioLyte ORS (Lemon),17
1/1/2024,Bifilac,14
2/1/2024,Bifilac,9
3/1/2024,Bifilac,10
4/1/2024,Bifilac,8
5/1/2024,Bifilac,8
6/1/2024,Bifilac,7
7/1/2024,Bifilac,10
8/1/2024,Bifilac,12
9/1/2024,Bifilac,3
10/1/2024,Bifilac,6
11/1/2024,Bifilac,3
12/1/2024,Bifilac,3
13/01/2024,Bifilac,13
14/01/2024,Bifilac,0
15/01/2024,Bifilac,10
16/01/2024,Bifilac,9
17/01/2024,Bifilac,6
18/01/2024,Bifilac,5
19/01/2024,Bifilac,8
20/01/2024,Bifilac,6
21/01/2024,Bifilac,8
22/01/2024,Bifilac,8
23/01/2024,Bifilac,4
24/01/2024,Bifilac,8
25/01/2024,Bifilac,6
26/01/2024,Bifilac,5
27/01/2024,Bifilac,16
28/01/2024,Bifilac,6
29/01/2024,Bifilac,2
30/01/2024,Bifilac,9
31/01/2024,Bifilac,21
1/2/2024,Bifilac,10
2/2/2024,Bifilac,6
3/2/2024,Bifilac,7
4/2/2024,Bifilac,5
5/2/2024,Bifilac,7
6/2/2024,Bifilac,5
7/2/2024,Bifilac,10
8/2/2024,Bifilac,6
9/2/2024,Bifilac,7
10/2/2024,Bifilac,14
11/2/2024,Bifilac,12
12/2/2024,Bifilac,1
13/02/2024,Bifilac,6
14/02/2024,Bifilac,11
15/02/2024,Bifilac,6
16/02/2024,Bifilac,5
17/02/2024,Bifilac,10
18/02/2024,Bifilac,12
19/02/2024,Bifilac,15
20/02/2024,Bifilac,8
21/02/2024,Bifilac,7
22/02/2024,Bifilac,10
23/02/2024,Bifilac,11
24/02/2024,Bifilac,5
25/02/2024,Bifilac,11
26/02/2024,Bifilac,13
27/02/2024,Bifilac,5
28/02/2024,Bifilac,9
29/02/2024,Bifilac,17
1/3/2024,Bifilac,7
2/3/2024,Bifilac,11
3/3/2024,Bifilac,3
4/3/2024,Bifilac,5
5/3/2024,Bifilac,5
6/3/2024,Bifilac,12
7/3/2024,Bifilac,7
8/3/2024,Bifilac,15
9/3/2024,Bifilac,10
10/3/2024,Bifilac,11
11/3/2024,Bifilac,13
12/3/2024,Bifilac,14
13/03/2024,Bifilac,6
14/03/2024,Bifilac,13
15/03/2024,Bifilac,22
16/03/2024,Bifilac,7
17/03/2024,Bifilac,9
18/03/2024,Bifilac,7
19/03/2024,Bifilac,7
20/03/2024,Bifilac,2
21/03/2024,Bifilac,18
22/03/2024,Bifilac,14
23/03/2024,Bifilac,9
24/03/2024,Bifilac,10
25/03/2024,Bifilac,13
26/03/2024,Bifilac,14
27/03/2024,Bifilac,11
28/03/2024,Bifilac,18
29/03/2024,Bifilac,2
30/03/2024,Bifilac,8
31/03/2024,Bifilac,18
1/4/2024,Bifilac,6
2/4/2024,Bifilac,6
3/4/2024,Bifilac,2
4/4/2024,Bifilac,12
5/4/2024,Bifilac,4
6/4/2024,Bifilac,9
7/4/2024,Bifilac,13
8/4/2024,Bifilac,3
9/4/2024,Bifilac,4
10/4/2024,Bifilac,7
11/4/2024,Bifilac,10
12/4/2024,Bifilac,7
13/04/2024,Bifilac,18
14/04/2024,Bifilac,10
15/04/2024,Bifilac,10
16/04/2024,Bifilac,10
17/04/2024,Bifilac,10
18/04/2024,Bifilac,2
19/04/2024,Bifilac,6
20/04/2024,Bifilac,3
21/04/2024,Bifilac,15
22/04/2024,Bifilac,8
23/04/2024,Bifilac,11
24/04/2024,Bifilac,7
25/04/2024,Bifilac,6
26/04/2024,Bifilac,4
27/04/2024,Bifilac,10
28/04/2024,Bifilac,10
29/04/2024,Bifilac,13
30/04/2024,Bifilac,16
1/5/2024,Bifilac,8
2/5/2024,Bifilac,12
3/5/2024,Bifilac,12
4/5/2024,Bifilac,9
5/5/2024,Bifilac,6
6/5/2024,Bifilac,6
7/5/2024,Bifilac,9
8/5/2024,Bifilac,16
9/5/2024,Bifilac,9
10/5/2024,Bifilac,8
11/5/2024,Bifilac,6
12/5/2024,Bifilac,3
13/05/2024,Bifilac,13
14/05/2024,Bifilac,12
15/05/2024,Bifilac,12
16/05/2024,Bifilac,11
17/05/2024,Bifilac,12
18/05/2024,Bifilac,15
19/05/2024,Bifilac,4
20/05/2024,Bifilac,5
21/05/2024,Bifilac,7
22/05/2024,Bifilac,19
23/05/2024,Bifilac,12
24/05/2024,Bifilac,12
25/05/2024,Bifilac,6
26/05/2024,Bifilac,16
27/05/2024,Bifilac,7
28/05/2024,Bifilac,11
29/05/2024,Bifilac,5
30/05/2024,Bifilac,3
31/05/2024,Bifilac,16
1/6/2024,Bifilac,11
2/6/2024,Bifilac,11
3/6/2024,Bifilac,10
4/6/2024,Bifilac,11
5/6/2024,Bifilac,9
6/6/2024,Bifilac,15
7/6/2024,Bifilac,5
8/6/2024,Bifilac,6
9/6/2024,Bifilac,3
10/6/2024,Bifilac,8
11/6/2024,Bifilac,10
12/6/2024,Bifilac,12
13/06/2024,Bifilac,18
14/06/2024,Bifilac,5
15/06/2024,Bifilac,14
16/06/2024,Bifilac,13
17/06/2024,Bifilac,0
18/06/2024,Bifilac,8
19/06/2024,Bifilac,5
20/06/2024,Bifilac,8
21/06/2024,Bifilac,7
22/06/2024,Bifilac,11
23/06/2024,Bifilac,13
24/06/2024,Bifilac,7
25/06/2024,Bifilac,7
26/06/2024,Bifilac,21
27/06/2024,Bifilac,11
28/06/2024,Bifilac,8
29/06/2024,Bifilac,4
30/06/2024,Bifilac,21
1/7/2024,Bifilac,13
2/7/2024,Bifilac,3
3/7/2024,Bifilac,3
4/7/2024,Bifilac,17
5/7/2024,Bifilac,13
6/7/2024,Bifilac,3
7/7/2024,Bifilac,11
8/7/2024,Bifilac,11
9/7/2024,Bifilac,11
10/7/2024,Bifilac,24
11/7/2024,Bifilac,20
12/7/2024,Bifilac,0
13/07/2024,Bifilac,8
14/07/2024,Bifilac,13
15/07/2024,Bifilac,20
16/07/2024,Bifilac,8
17/07/2024,Bifilac,11
18/07/2024,Bifilac,9
19/07/2024,Bifilac,6
20/07/2024,Bifilac,14
21/07/2024,Bifilac,29
22/07/2024,Bifilac,14
23/07/2024,Bifilac,28
24/07/2024,Bifilac,13
25/07/2024,Bifilac,12
26/07/2024,Bifilac,7
27/07/2024,Bifilac,19
28/07/2024,Bifilac,10
29/07/2024,Bifilac,30
30/07/2024,Bifilac,7
31/07/2024,Bifilac,12
1/8/2024,Bifilac,6
2/8/2024,Bifilac,21
3/8/2024,Bifilac,15
4/8/2024,Bifilac,13
5/8/2024,Bifilac,22
6/8/2024,Bifilac,23
7/8/2024,Bifilac,18
8/8/2024,Bifilac,20
9/8/2024,Bifilac,14
10/8/2024,Bifilac,26
11/8/2024,Bifilac,11
12/8/2024,Bifilac,18
13/08/2024,Bifilac,4
14/08/2024,Bifilac,19
15/08/2024,Bifilac,18
16/08/2024,Bifilac,17
17/08/2024,Bifilac,21
18/08/2024,Bifilac,9
19/08/2024,Bifilac,5
20/08/2024,Bifilac,22
21/08/2024,Bifilac,13
22/08/2024,Bifilac,18
23/08/2024,Bifilac,13
